,marca,master
0,Rober Pier,ROBERT IBAÑEZ
1,Aduriz,ADURIZ
2,Piqué,PIQUE
3,Albentosa,R. ALBENTOSA
4,Bigas,BIGAS
5,Arambarri,AKRAM AFIF
6,Aarón Martín,ADRIAN MARIN
7,Ramos,"RAMOS, S."
8,Asensio,MARCO ASENSIO
9,Pere Pons,PETROS
10,Filipe,FILIPENKO
11,Muriel,
12,Damián S.,DAMIAN SUAREZ
13,Prieto,X. PRIETO
14,R. García,RUBEN GARCIA
15,Savic,
16,Amath,MATHIEU
17,Bacca,
18,Lerma,
19,Rico,ISCO
20,Kayode,
21,Macedo,MICHEL MACEDO
22,Douglas Luiz,DOUGLAS S.
23,Thomas,THOMAS T.
24,Pereira,"PEREIRA, A."
25,Nacho Vidal,NACHO GIL
26,Cabral,CARCELA
27,Halilovic,"HALILOVIC, A."
28,Andone,SANSONE
29,Joaquín,JOAQUIN S.
30,Umtiti,UMTITI
31,Stuani,TURAN
32,Rodrigo Ely,RODRIGO M.
33,Roncaglia,RONCAGLIA
34,Januzaj,
35,Rolón,
36,Dmitrovic,IZET HAJROVIC
37,Bebé,BEBE
38,Rubén Peña,RUBEN PEÑA
39,Pau López,PAU LOPEZ
40,Torres,F. TORRES
41,Escalante,"ESCALANTE, G."
42,Adrián Diéguez,ADRIAN GLEZ.
43,Hernán Trujillo,
44,Campaña,CHAMPAGNE
45,Suárez,LEO SUAREZ
46,Maripán,MAINZ
47,Lenglet,LENGLET
48,Pareja,PAREJA
49,Jozabed,JOZABED
50,Mandi,CANI
51,Beñat,BEÑAT
52,Erik Morán,GERARD MORENO
53,Dos Santos,"DOS SANTOS,M."
54,Carlos Soler,CARLOS SOLER
55,Marcelo,MARCELO V.
56,Bojan,BOKA
57,Alcácer,"ALCACER, F."
58,Toño,TOÑO R.
59,Mercado,MERCADO
60,Jurado,"JURADO, JM."
61,Gabriel,GABRIEL AP.
62,Augusto,AUGUSTO F.
63,Laporte,LAPORTE
64,Tosca,ALIN TOSCA
65,S. Kjaer,
66,Charles,CHARLES D.
67,Barbosa,BARBOSA
68,Córdoba,
69,Jonny,JONY
70,J. Correa,F. TORRES
71,Siovas,SIOVAS
72,Baptistao,LEO BAPTISTAO
73,Enzo Zidane,
74,Ximo Navarro,MARC NAVARRO
75,Diego Rico,DIEGO RICO
76,Keko,KEKO
77,Calleri,CERCI
78,Postigo,TIAGO
79,K. Rodrigues,J. RODRIGUEZ
80,Cala,CALA
81,Mayoral,"MAYORAL, B."
82,Lucas,LUCAS V.
83,Manu García,MANU GARCIA
84,Mario Gaspar,MARIO GASPAR
85,Mascherano,MASCHERANO
86,Naldo,"RONALDO, C."
87,Jordi Amat,JORDAN
88,Samper,SERGI SAMPER
89,Pedraza,ERIZA
90,Vezo,
91,Neto,
92,Iturraspe,"ITURRASPE, A."
93,Wass,
94,Mosquera,"MOSQUERA, P."
95,Javi Fuego,JAVI FUEGO
96,Ángel Rodríguez,J. RODRIGUEZ
97,Iván Alejo,
98,Aarón,ADAN
99,Keylor,KEYLOR NAVAS
100,Darder,DIGARD
101,Eraso,ERASO
102,Aissa Mandi,AÏSSA MANDI
103,Mojica,MODRIC
104,Pantilimon,ATZILI
105,Ricca,FEDE RICCA
106,Aleix García,UNAI GARCIA
107,Adrián González,IAN GONZALEZ
108,Álex Granell,
109,Álvaro Jiménez,ALVARO FDEZ.
110,Mula,
111,Andoni Gorosabel,
112,Casilla,CASILLA
113,Soriano,"SORIANO, R."
114,Kepa,
115,Kike García,KIKE GARCIA
116,Zubeldia,"ZUBELDIA, I."
117,Iniesta,INIESTA
118,Recio,"RECIO, JL."
119,Francis,FRAN RICO
120,Vesga,VESGA
121,Illarramendi,ILLARAMENDI
122,Corchia,ROCHINA
123,Diop,DIOP
124,Portu,LAPORTE
125,Iraizoz,GORKA IRAIZOZ
126,Munir,MUNIR
127,Jaume Doménech,JAUME D.
128,Herrerín,IAGO HERRERIN
129,Szymanowski,SZMANOWSKI
130,Lekue,I. LEKUE
131,D. Simón,DAVID SIMON
132,Oblak,OBLAK
133,Mauro Arambarri,
134,Bakkali,BAKKALI
